SYMBOL	ID	ENTREZID	GENENAME	CHR	CHRLOC	ectoderm_rep1	endoderm_rep1	endoderm_rep2	HUES64_rep1	mesoderm_rep1	mesoderm_rep2	ectoderm_rep2	ectoderm_rep3	HUES64_rep2
LOC100996442	gene10	100996442	uncharacterized LOC100996442	1	NA	1.98	3.26	2.96	2.16	2.61	1.73	3.12	2.36	1.7
PEX10	gene100	5192	peroxisomal biogenesis factor 10	1	  -2336241	5.55	6.51	6.54	5.75	4.36	3.54	8.17	7.29	5.79
TRABD2B	gene1000	388630	TraB domain containing 2B	1	 -48226200	1.62	1.2	1.23	0.35	0.37	0.63	3.23	3.31	0.46
SMN1	gene10000	6606	survival of motor neuron 1, telomeric	5	  70220768;   69345350	10.57	17.54	11.57	16.33	8.07	9.83	17.91	15.12	11.76
NAIP	gene10001	4671	NLR family, apoptosis inhibitory protein	5	 -70264310	0.46	0.35	0.46	0.16	0.07	0.41	0.48	0.44	0
GTF2H2	gene10002	2966	general transcription factor IIH, polypeptide 2, 44kDa	5	 -70330951	2.99	2.55	2.1	3.55	1.67	1.8	3.7	3.41	3.3
LOC647859	gene10003	647859	occludin pseudogene	5	 -70370030	1.12	0	0.84	0	0.78	0	0	1.45	0
LOC653406	gene10004	653406	NLR family, apoptosis inhibitory protein pseudogene	5	NA	0.37	0.79	0.67	0.2	0.44	0.4	1.64	1.54	0.2
LOC100996297	gene10006	NA	NA	NA	NA	0.23	0	0.04	0.2	0.2	0.03	1.42	0.23	0.11
GUSBP9	gene10007	100049076	glucuronidase, beta pseudogene 9	5	 -69812079;  -70516053	1.31	0.9	2.15	0	0	0	0.8	2.01	0.53
LOC728452	gene10008	728452	POM121 membrane glycoprotein (rat) pseudogene	5	NA	0	0	0	0	0	0	0.02	0.03	0
LOC728575	gene10009	728575	POM121 membrane glycoprotein (rat) pseudogene	5	NA	0	0	0	0	0.02	0	0.02	0	0
PMCHL2	gene10010	5370	pro-melanin-concentrating hormone-like 2, pseudogene	5	  70671612	0.03	0	0.08	0	0.04	0	0.3	0.04	0
BDP1	gene10011	55814	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	5	  70751442	2.32	3.44	3.18	2.21	2.79	2.74	4.1	3.87	2.33
MCCC2	gene10013	64087	methylcrotonoyl-CoA carboxylase 2 (beta)	5	  70883115	7.71	7.68	6.51	8.3	5.11	4.5	13.89	12.98	10.03
CARTPT	gene10014	9607	CART prepropeptide	5	  71014990	0.07	0.16	0.25	0	1.59	0.61	0	0	0
MAP1B	gene10016	4131	microtubule-associated protein 1B	5	  71403118	21.05	70.98	70	16.93	28.47	22.5	34.47	29.81	17.49
MRPS27	gene10018	23107	mitochondrial ribosomal protein S27	5	 -71515236	17.81	19.93	17.21	17.75	13.02	12.78	33.09	30.28	15.57
PTCD2	gene10019	79810	pentatricopeptide repeat domain 2	5	  71616200	2.48	2.72	1.89	2.07	2.03	1.81	3.96	4.04	2.1
SKINTL	gene1002	391037	Skint-like, pseudogene	1	 -48567387	0	0.22	0.05	0	0	0.1	0.03	0	0
RPL10AP8	gene10020	644154	ribosomal protein L10a pseudogene 8	5	NA	0.01	0.01	0.02	0	0.01	0.01	0.02	0.01	0
ZNF366	gene10022	167465	zinc finger protein 366	5	 -71739234	0.02	0	0	0	0.23	0.25	0.04	0.03	0
TNPO1	gene10024	3842	transportin 1	5	  72112418;   72143930	25.21	27.14	25.54	16.85	37.46	35.51	49.36	42.82	20.05
FCHO2	gene10027	115548	FCH domain only 2	5	  72251808	2.79	3.23	3.42	1.57	4.04	3.84	2.95	2.78	1.33
LOC100420515	gene10028	100420515	CTD nuclear envelope phosphatase 1 pseudogene	5	NA	0	0	0.11	0	0.12	0	0	0.12	0
SLC5A9	gene1003	200010	solute carrier family 5 (sodium/sugar cotransporter), member 9	1	  48688357	0.02	1.78	1.91	0.16	0.02	0	0	0	0.06
TMEM171	gene10030	134285	transmembrane protein 171	5	  72416388	0.1	0.11	0.06	0.38	0	0.24	0	0.06	0.12
FOXD1	gene10033	2297	forkhead box D1	5	 -72742085	0.19	0.37	0.31	0.08	7.23	7.46	0.27	0.32	0.12
BTF3	gene10034	689	basic transcription factor 3	5	  72794250	162.78	190.93	160.86	157.75	187.97	179.46	230.98	225.42	160.28
FUNDC2P1	gene10035	220793	FUN14 domain containing 2 pseudogene 1	5	NA	0.05	0	0	0	0.05	0	0	0	0
ANKRA2	gene10036	57763	ankyrin repeat, family A (RFXANK-like), 2	5	 -72848025	4.5	5.89	5.35	2.62	7.52	6.16	5.43	4.99	1.58
UTP15	gene10037	84135	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)	5	  72861598	1.87	2.75	2.37	2.46	1.55	1.2	3.91	3.57	3.22
ARHGEF28	gene10038	64283	Rho guanine nucleotide exchange factor (GEF) 28	5	  72921983;   73109343	0.11	0.22	0.17	0.08	0.23	0.12	0.05	0.09	0.06
ENC1	gene10039	8507	ectodermal-neural cortex 1 (with BTB domain)	5	 -73923231	10.27	43.21	36.94	6.36	30.92	23.38	15.42	19.88	5.93
SPATA6	gene1004	54558	spermatogenesis associated 6	1	 -48761044	3.13	3.42	2.83	1.69	1.63	1.69	4.15	3.92	1.39
HEXB	gene10040	3074	hexosaminidase B (beta polypeptide)	5	  73980969	11.05	12.75	10.55	9.15	23.23	21.26	12.15	12.31	9.71
GFM2	gene10041	84340	G elongation factor, mitochondrial 2	5	 -74032494;  -74017031	5.75	9.4	8.08	5.01	7.23	6.52	10.32	8.71	4.64
NSA2	gene10042	10412	NSA2 ribosome biogenesis homolog (S. cerevisiae)	5	  74063103	24.47	31.78	26.64	24.33	23.82	24.7	33.55	31.14	21.78
FAM169A	gene10043	26049	family with sequence similarity 169, member A	5	 -74073399	1.15	2.5	2.1	4.17	1.6	1.53	2.05	1.6	4.45
LOC260421	gene10044	260421	actin related protein 2/3 complex subunit 1A pseudogene	5	NA	0	0	0	0.04	0	0	0.03	0	0
RPL39P21	gene10046	644499	ribosomal protein L39 pseudogene 21	5	NA	0.23	0.48	0	0.24	0	0	0.55	0.81	0.42
LOC100996319	gene10048	NA	NA	NA	NA	0.47	0.36	0.6	0.8	1.3	0.67	0.82	0.75	0.73
GCNT4	gene10049	51301	glucosaminyl (N-acetyl) transferase 4, core 2	5	 -74323289	0.43	0.35	0.3	0.67	0.84	0.51	0.6	0.89	0.8
PPP1R8P1	gene1005	5512	protein phosphatase 1, regulatory subunit 8 pseudogene 1	1	NA	0	0.06	0.13	0	0.07	0	0.09	0	0
ANKRD31	gene10050	256006	ankyrin repeat domain 31	5	 -74364122	0.1	0.07	0.04	0.02	0.01	0	0.07	0.07	0.02
HMGCR	gene10052	3156	3-hydroxy-3-methylglutaryl-CoA reductase	5	  74632993	19.16	57.64	51.2	38.03	39.1	34.47	37.96	39.5	36.87
COL4A3BP	gene10053	10087	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	5	 -74666928	6.07	5.81	5.03	4.35	3.99	3.71	8.8	7.33	5.83
POLK	gene10055	51426	polymerase (DNA directed) kappa	5	  74807657	2.36	3.87	4.02	0.98	2.66	3.16	3.07	3.24	0.9
ANKDD1B	gene10056	728780	ankyrin repeat and death domain containing 1B	5	NA	0	0	0	0	0	0	0	0	0.03
POC5	gene10057	134359	POC5 centriolar protein	5	 -74970024	2.96	4.55	4.09	1.98	3.44	2.75	4.43	3.69	2.04
LOC391798	gene10059	391798	karyopherin alpha 7 (importin alpha 8) pseudogene	5	NA	0	0.04	0	0	0	0	0	0	0
LOC644462	gene1006	644462	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 pseudogene	1	NA	0.07	0.19	0.08	0.23	0.07	0.13	0.32	0.16	0.05
SV2C	gene10063	22987	synaptic vesicle glycoprotein 2C	5	  75379305	0.48	0.28	0.38	0	0	0.03	1.23	1.21	0.06
HMGN2P4	gene10065	643744	high mobility group nucleosomal binding domain 2 pseudogene 4	5	NA	0.44	0.07	0.22	0	0.07	0.07	0.25	0.67	0.24
IQGAP2	gene10068	10788	IQ motif containing GTPase activating protein 2	5	  75699149	5.46	4.39	3.64	6.99	2.16	1.95	7.97	6.21	6.5
F2RL2	gene10070	2151	coagulation factor II (thrombin) receptor-like 2	5	 -75911307	0.13	0.08	0.14	0.08	24.89	16.84	0.39	0.23	0.1
NCRUPAR	gene10071	100302746	non-protein coding RNA, upstream of F2R/PAR1	5	  76007763	0.45	0.91	0.69	0.36	1.17	0.6	1.95	2.18	0.49
F2R	gene10072	2149	coagulation factor II (thrombin) receptor	5	  76011868	10.66	20.03	17.86	6.48	44.75	32.96	12.48	12.08	5.69
F2RL1	gene10073	2150	coagulation factor II (thrombin) receptor-like 1	5	  76114833	2.92	2.7	2.23	5.9	47.53	36.41	3.91	3.67	6.94
S100Z	gene10074	170591	S100 calcium binding protein Z	5	  76145826	0	0.18	0.46	0.18	0.2	0	0	0	0.04
CRHBP	gene10075	1393	corticotropin releasing hormone binding protein	5	  76248680	0	1.88	1.88	0.71	15.78	15.06	0	0.04	0.44
AGGF1	gene10076	55109	angiogenic factor with G patch and FHA domains 1	5	  76326210	4.93	4.8	5.11	3.85	2.88	2.92	7.86	7.26	3.51
ZBED3	gene10077	84327	zinc finger, BED-type containing 3	5	 -76372532	0.75	1.39	0.77	1.03	0.74	0.37	1.55	0.81	1.13
SNORA47	gene10078	677828	small nucleolar RNA, H/ACA box 47	5	 -76376259	65.44	80.37	22.39	74.79	16.64	29.16	16.27	0	56.33
ZBED3-AS1	gene10079	728723	ZBED3 antisense RNA 1	5	  76382623	0.68	0.55	0.26	0.12	0.2	0.07	1.18	1.45	0.17
AGBL4	gene1008	84871	ATP/GTP binding protein-like 4	1	 -48998527	0.04	0.11	0.02	0.13	0	0.02	0.07	0.07	0.05
HMGB1P35	gene10080	100419950	high mobility group box 1 pseudogene 35	5	NA	0.13	0	0	0	0	0	0.32	0	0
PDE8B	gene10081	8622	phosphodiesterase 8B	5	  76506706	0.39	0.3	0.38	0.07	0.08	0.23	0.26	0.44	0.03
ALDH7A1P1	gene10082	541	aldehyde dehydrogenase 7 family, member A1 pseudogene 1	5	NA	0	0	0.04	0	0	0	0	0	0
WDR41	gene10083	55255	WD repeat domain 41	5	 -76728069	7.96	10.32	9.18	6.05	10.07	10.8	13.05	11.12	5.22
RPL7P23	gene10085	648000	ribosomal protein L7 pseudogene 23	5	NA	8.51	8.38	7.62	7.22	8.01	9.78	15.23	15.56	7.46
OTP	gene10086	23440	orthopedia homeobox	5	 -76924537	0	0.14	0.1	0	0	0.03	0.02	0	0
TBCA	gene10087	6902	tubulin folding cofactor A	5	 -76986995	38.66	66.37	65.11	66.93	52.12	60.36	51.78	48.83	58.84
ACTBP2	gene10088	62	actin, beta pseudogene 2	5	NA	0.04	0.63	0.23	0.25	0.12	0.29	0.61	0.55	0.39
AP3B1	gene10089	8546	adaptor-related protein complex 3, beta 1 subunit	5	 -77298150	11.27	11.62	9.35	10.68	14.84	14.85	17.12	17.26	10.11
BEND5	gene1009	79656	BEN domain containing 5	1	 -49193540	3.58	6	4.68	2.73	1.54	2.42	4.25	4.54	1.54
LOC100422441	gene10091	100422441	heat shock protein 90kDa alpha (cytosolic), class B member 1 pseudogene	5	NA	0.03	0.03	0.09	0	0.03	0.06	0.04	0.03	0.02
LOC728769	gene10093	NA	NA	NA	NA	2.64	1.57	1.24	1.01	0.89	0.94	3.81	2.82	1.05
SCAMP1	gene10094	9522	secretory carrier membrane protein 1	5	  77656339	5.64	6.96	6.16	3.91	6.33	5.33	9.8	7.71	3.6
LHFPL2	gene10095	10184	lipoma HMGIC fusion partner-like 2	5	 -77781038	3.37	6.21	6.15	4.81	9.95	10.11	5.41	4.84	5.38
HMGB1P21	gene10096	100419947	high mobility group box 1 pseudogene 21	5	NA	0	0.13	0.29	0	0.15	0.15	0.41	0.15	0
ARSB	gene10097	411	arylsulfatase B	5	 -78073037;  -78111334	3.13	3	3.41	1.64	4.65	3.81	6.18	6.38	2.03
DMGDH	gene10098	29958	dimethylglycine dehydrogenase	5	 -78293429	0.04	0.06	0	0	0.02	0	0.08	0.09	0
BHMT2	gene10099	23743	betaine--homocysteine S-methyltransferase 2	5	  78365547	0.05	0.29	0.15	0.08	0.15	0.22	0.6	0.42	0.11
PLCH2	gene101	9651	phospholipase C, eta 2	1	   2407754	0.34	0.47	0.26	0.01	0.14	0.19	0.65	0.4	0.03
ZNF859P	gene1010	100507490	zinc finger protein 859, pseudogene	1	NA	0.07	0.04	0	0	0	0	0	0	0
BHMT	gene10100	635	betaine--homocysteine S-methyltransferase	5	  78407604	0.14	0	0	0.1	0.14	0.4	0.42	0.15	0.02
JMY	gene10101	133746	junction mediating and regulatory protein, p53 cofactor	5	  78531925	1.57	1.64	1.3	0.8	1.25	1.19	3.08	2.78	1.01
RPS3AP20	gene10102	643932	ribosomal protein S3a pseudogene 20	5	NA	0.24	0	0	0.17	0.29	0.09	0.2	0.21	0.43
HOMER1	gene10103	9456	homer homolog 1 (Drosophila)	5	 -78669786	6.26	5.01	4.78	6.58	3.63	3.51	10.73	9.38	7.79
RPL29P15	gene10104	728820	ribosomal protein L29 pseudogene 15	5	NA	0	0	0	0	0	0.19	0	0	0
RPL7AP32	gene10105	133748	ribosomal protein L7a pseudogene 32	5	NA	0	0	0	0	0	0	0	0.09	0
PAPD4	gene10106	167153	PAP associated domain containing 4	5	  78908243	6.48	6.53	5.79	3.39	6.79	6.46	8.47	7.36	3.76
CMYA5	gene10107	202333	cardiomyopathy associated 5	5	  78985659	0.05	0.05	0.05	0.03	0.08	0.05	0.09	0.08	0.04
MTX3	gene10108	345778	metaxin 3	5	 -79272539	3.41	4.11	3.88	2.27	2.26	2.17	7.15	7.37	2.31
LOC100500934	gene10109	100500934	ring-box 1, E3 ubiquitin protein ligase pseudogene	5	NA	0.49	0.48	0.11	0.12	0.71	0.26	0.9	0.76	0.21
THBS4	gene10110	7060	thrombospondin 4	5	  79331170	4.19	2.32	2.02	1.64	2.32	2.3	5.82	4.76	1.2
SERINC5	gene10111	256987	serine incorporator 5	5	 -79407050;  -79434550	12.77	11.46	9.94	8.82	8.84	8.9	30.82	19.85	7.95
KRT18P45	gene10112	391803	keratin 18 pseudogene 45	5	NA	0	0	0	0	0	0.05	0	0	0
LOC644936	gene10113	644936	actin, beta pseudogene	5	 -79594917	0.54	2.77	1.62	1.63	1.3	1.88	5.08	5.19	1.04
RPL39P20	gene10114	100131160	ribosomal protein L39 pseudogene 20	5	NA	0.23	0	0	0.24	0	0	0.58	0.28	0
HNRNPA1P12	gene10118	644037	heterogeneous nuclear ribonucleoprotein A1 pseudogene 12	5	NA	0.14	0	0.16	0.07	0	0	0.06	0	0
ZFYVE16	gene10119	9765	zinc finger, FYVE domain containing 16	5	  79703838	5.8	7.94	7.04	2.62	8.03	8.27	8.85	6.6	1.94
ELAVL4	gene1012	1996	ELAV like neuron-specific RNA binding protein 4	1	  50574594;   50571964;   50569582;   50513686	0.34	4.69	3.91	0.28	0.32	0.14	0.46	0.47	0.14
FAM151B	gene10120	167555	family with sequence similarity 151, member B	5	  79783800	0.29	0.27	0.5	0	0.22	0.13	0.45	0.31	0.08
RPL7P24	gene10122	100127893	ribosomal protein L7 pseudogene 24	5	NA	0	0	0	0	0	0	0.07	0.1	0.06
ANKRD34B	gene10123	340120	ankyrin repeat domain 34B	5	 -79852574	0.07	0.05	0.02	0.09	0	0	0.24	0.05	0.08
