"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"7SLRNA:CR32864",0,0,0.494137537649003,0.562163727276527,0,0,0,0.418199575219924,0,0
"a",53.7672302166191,94.9515108308365,133.500188265319,148.073488005275,185.157321253406,83.751991199758,180.331062037197,218.123428036772,248.532328231873,84.9371478839894
"abd-A",19.2723212195205,62.7460510915952,58.7677030737087,1.38010611300074,10.9934117462099,39.2292001317997,64.349726487171,79.2686094432006,30.1830206759079,28.8735677375646
"Abd-B",0.78394273708345,0.238052865159372,33.5622099071211,0.690053056500372,2.65089253179777,1.58090073660252,4.66622837708178,0,1.62391970436612,26.6603934060998
"Abl",870.03764167505,856.013147661248,741.00854094221,658.2327726917,671.218418032628,962.885101115385,757.886422519948,661.916698419069,726.02527814355,450.882034432726
"abo",289.249665605809,254.572674168541,299.608592255877,251.105762522111,277.78234059897,259.718664603027,264.987741930778,216.813119473699,254.122057211297,311.807508537659
"ac",0,0,0,0,0,0.962201110780121,0,0,0,0
"Ace",3971.17364236674,159.583293177553,581.505125798756,2158.50090945565,1599.34569710324,56.8468863737533,308.758631813126,450.901627323389,481.018568782827,543.381334792696
"acj6",6.71584879479697,3.04872950914904,11.3945698027038,9.97904207890185,5.91185697677375,3.3703614078391,6.38417692304841,2.96858345695969,7.84625943671059,6.36833815298379
"Acph-1",828.973928079252,1096.08309234505,704.986545215448,820.208375576709,650.019694924089,950.044620052483,1006.36647623865,1042.56535725069,888.072848284969,844.9383460441
"nAChRalpha1",0,0.799574681884332,0,1.12432745455305,1.61848860151431,3.46315945473914,0,6.3759408698623,0.483175171260275,1.24077714497675
"mAChR-A",6.88189392405065,6.3026849277983,6.40397648911947,9.17291244846144,5.30008443236773,1.92217000812854,7.90399973792,2.49441276267652,4.13465172318871,3.92090340347027
"nAChRbeta1",7.73839211984342,1.28881119446673,0.402261468325415,4.78424732760039,5.96323272312412,3.53649430126488,2.72301141153492,3.34559660175939,0.241587585630137,0
"nAChRalpha2",0.391971368541725,0,0,0,1.00671605710828,0.807303915460496,0,0.209099787609962,0.332328870478283,0.24815542899535
"Act5C",65492.3720670556,115500.342367945,126891.668683274,122479.525280954,161878.156005387,170841.183912852,129680.106249546,140522.244582424,144325.87094458,194617.024565032
"Act42A",1054.04004110463,5940.55745034074,10193.6917797774,7280.61233003096,8580.44299036338,8861.66410139796,13354.2365122617,15598.4971242307,16345.398839582,22583.1635453023
"Act57B",1096.24344259659,1747.92372782981,2401.99289178591,891.817507933296,1226.0788714772,2592.42149715805,2744.90547042222,1646.93255516674,657.902530572972,1931.9711719748
"Act79B",72.7647159059871,41.223496303304,87.30299596965,160.803574697652,174.139369706236,35.6055449037389,39.6420676661332,39.0961722237989,50.3510959429714,95.6199009773551
"Act87E",188.698848630326,375.660223294989,762.35577566918,108.03817749899,251.820776831062,576.470472029708,538.451481844044,399.911165406745,246.538062990929,561.457294097751
"Act88F",39.5910415013934,14.1305351308091,4.82713761990498,94.7187286331099,8.47662160343918,24.0393462941164,21.2361977789423,5.37726469622394,0.332328870478283,0.772237980285824
"ade2",1015.17766889965,530.300374854287,655.110278090801,1517.79346387645,1356.66599301636,723.086897379217,758.573898172015,720.434837878618,620.156791380902,604.694833782272
"ade3",624.767206276366,366.534142171965,668.5646577133,574.364497622767,582.39151212046,666.125178058224,624.384454170557,520.279428414892,511.73257209852,722.994551227929
"Adf1",420.930794045011,557.844791567991,483.732932051826,389.398669918059,315.590092008272,437.399685520095,459.424800514363,422.47541706328,510.183573966249,498.908849875245
